station,tonum,gate_inner,gate_outer,toi_info,exper
서울역,1,,1,21,
시 청,1,,1,5,
종 각,2,,2,23,
종로3가,2,1,1,46,
종로5가,1,,1,22,
동대문,1,,1,30,
동묘앞,4,2,2,41,
신설동,1,,1,22,
제기동,1,,1,18,
청량리,1,,1,30,
시 청,2,1,1,63,
을지로입구,1,,1,20,
을지로3가,1,,1,40,
을지로4가,1,,1,7,
동대문역사문화공원,1,1,,7,
신 당,1,1,,9,
상왕십리,1,,1,19,
왕십리,1,,1,16,
한양대,1,,1,4,
뚝 섬,1,,1,3,
성 수,1,,1,8,
건대입구,1,1,,4,
구 의,1,,1,7,
강 변,1,,1,6,
잠실나루,1,,1,4,
잠 실,1,,1,18,
잠실새내,1,,1,16,
종합운동장,2,,2,9,
삼 성,1,,1,12,
선 릉,1,,1,29,
역 삼,1,,1,12,
강 남,1,1,,38,
교 대,1,,1,7,
서 초,1,,1,20,
방 배,1,,1,28,
사 당,2,,2,22,
낙성대,1,1,,21,
서울대입구,1,,1,21,
봉 천,1,1,,13,
신 림,1,1,,19,
신대방,1,1,,25,
구로디지털단지,1,1,,25,
대 림,1,1,,40,
신도림,2,1,1,30,
문 래,1,,1,48,
영등포구청,1,1,,40,
당 산,1,1,,16,
합 정,1,1,,55,
홍대입구,1,,1,47,
신 촌,1,,1,28,
이 대,1,,1,23,
아 현,1,,1,31,
충정로,1,,1,25,
신설동,1,1,,15,
용 두,4,2,2,34,
신 답,1,1,,14,
용 답,1,,1,8,
도림천,1,,1,12,
양천구청,1,1,,14,
신정네거리,1,,1,12,
지 축,,,,11,철도청사용
구파발,1,,1,29,
연신내,1,1,,37,
불 광,1,,1,37,
녹 번,1,,1,38,
홍 제,1,,1,29,
무악재,1,1,,28,
독립문,1,1,,19,
경복궁,1,1,,35,
안 국,1,,1,58,
종로3가,2,2,,11,
을지로3가,1,1,,8,
충무로,,,,2,4호선이용
동대입구,1,1,,28,
약 수,1,1,,45,
금 호,1,1,,32,
옥 수,3,1,2,38,
압구정,1,,1,6,
신 사,1,1,,31,
잠 원,1,1,,32,
고속터미널,,,,23,9호선 이용
교 대,1,,1,24,
남부터미널,1,1,,40,
양 재,1,1,,50,
매 봉,1,,1,24,
도 곡,1,,1,30,
대 치,1,1,,38,
학여울,1,,1,25,
대 청,1,1,,20,
일 원,1,,1,34,
수 서,1,1,,29,
가락시장,2,1,1,24,
경찰병원,2,1,1,32,
오 금,2,1,1,22,
당고개,2,,2,19,
상 계,1,1,,29,
노 원,1,1,,33,
창 동,1,1,,26,
쌍 문,1,,1,34,
수 유,1,1,,25,
미 아,1,,1,34,
미아삼거리,1,,1,34,
길 음,1,,1,27,
성신여대,1,1,,34,
한성대입구,1,,1,32,
혜 화,1,,1,33,
동대문,1,1,,22,
동대문역사문화공원,2,1,1,49,
충무로,1,1,,30,
명 동,1,1,,24,
회 현,1,1,,17,
서울역,1,,1,22,
숙대입구,1,1,,29,
삼각지,1,1,,37,
신용산,1,,1,29,
이 촌,1,1,,32,
동 작,1,1,,50,
총신대입구,1,1,,33,
사 당,3,1,2,17,
남태령,1,1,,26,
