division,name,address,unisex,maleflusher,maleurinal,malehandicap,malechild,femaleflusher,femalehandicap,femalechild,manager,phonenum,time,lat,lng
개방화장실,강촌쌈밥,서울특별시 성북구 성북로 167,FALSE,1,1,FALSE,FALSE,1,FALSE,FALSE,서울특별시 성북구청 청소행정과,02-766-2557,연중무휴,37.5944763,126.9912657
개방화장실,개운산스포츠센터,서울특별시 성북구 북악산로 949-60,FALSE,4,4,FALSE,FALSE,4,FALSE,FALSE,서울특별시 성북구청 도시관리공단,02-925-9960,09:00~18:00,37.5968616,127.0262231
개방화장실,거산프라자,서울특별시 성북구 종암로 18,FALSE,2,2,FALSE,FALSE,2,FALSE,FALSE,서울특별시 성북구청 청소행정과,02-911-0348,연중무휴,37.5921696,127.0366879
개방화장실,경동고 공영주차장,서울특별시 성북구 보문로29길 49,FALSE,2,2,FALSE,FALSE,2,FALSE,FALSE,서울특별시 성북구청 도시관리공단,02-6925-0024,09:00~18:00,37.5856336,127.0138501
개방화장실,고려대학교 안암병원 장례식장,서울특별시 성북구 인촌로 73,FALSE,10,11,TRUE,FALSE,8,TRUE,FALSE,서울특별시 성북구청 어르신사회복지과,02-2241-2533,연중무휴,37.5871061,127.0263411
개방화장실,구민회관 공공 화장실,서울특별시 성북구 성북로4길 177,FALSE,10,18,TRUE,FALSE,14,TRUE,FALSE,서울특별시 성북구청 성북구청 문화체육과(문화재단),02-924-6781,연중무휴,37.5958695,127.0086976
개방화장실,금영빌딩,서울특별시 성북구 보국문로 10(정릉동),FALSE,16,16,FALSE,FALSE,16,FALSE,FALSE,서울특별시 성북구청 청소행정과,,연중무휴,37.6055321,127.0116366
개방화장실,기린빌딩,서울특별시 성북구 삼양로 22,FALSE,2,2,FALSE,FALSE,2,FALSE,FALSE,서울특별시 성북구청 청소행정과,02-989-8186,연중무휴,37.6053737,127.0248645
개방화장실,길음1동 주민센터,서울특별시 성북구 길음로 92,FALSE,3,9,TRUE,FALSE,6,TRUE,FALSE,서울특별시 성북구청 길음1동 주민센터,02-2241-6512,09:00~18:00,37.6104808,127.0194382
개방화장실,길음1동분소화장실,서울특별시 성북구 길음로 6,FALSE,5,6,FALSE,FALSE,7,FALSE,FALSE,서울특별시 성북구청 길음1동 주민센터 분소,02-2241-6512,09:00~18:00,37.6042851,127.0242849
개방화장실,길음2동 주민센터,서울특별시 성북구 삼양로2길 70,FALSE,2,2,FALSE,FALSE,2,FALSE,FALSE,서울특별시 성북구청 길음2동 주민센터,02-2241-6513,09:00~18:00,37.6066874,127.0272767
개방화장실,길음환승주차장,서울특별시 성북구 동소문로 260,FALSE,5,5,FALSE,FALSE,5,FALSE,FALSE,서울특별시 성북구청 도시관리공단,02-6925-0023,연중무휴,37.6040969,127.0258198
개방화장실,꿈마루도서관화장실,서울특별시 성북구 서경로 94-1,FALSE,1,0,FALSE,FALSE,1,FALSE,FALSE,서울특별시 성북구청 문화체육과(문화재단),02-6925-7002,09:00~18:00,37.6114565,127.0138462
개방화장실,노동사목빌딩,서울특별시 성북구 보문로 95,FALSE,2,3,FALSE,FALSE,2,FALSE,FALSE,서울특별시 성북구청 청소행정과,02-924-6251,연중무휴,37.5837356,127.0199184
